"","rules","support","confidence","lift","count"
"319360","{intx_record_type_Connection_to_Community_Resource=1,intx_subtype_Non.payment_of_rent=0} => {Positive.MO=1}",0.0764119601328904,0.2875,1.25416666666667,23
"319351","{event_type_Property_Meeting=0,intx_record_type_Connection_to_Community_Resource=1} => {Positive.MO=1}",0.053156146179402,0.285714285714286,1.2463768115942,16
"319372","{intx_record_type_Connection_to_Community_Resource=1,intx_resource_Community_Involvement=0} => {Positive.MO=1}",0.0664451827242525,0.285714285714286,1.2463768115942,20
"319357","{event_subtype_Educational=0,intx_record_type_Connection_to_Community_Resource=1} => {Positive.MO=1}",0.0697674418604651,0.283783783783784,1.237955346651,21
"319690","{event_type_Food_Shelf=0,intx_record_type_Housing_Stability=0} => {Positive.MO=1}",0.106312292358804,0.283185840707965,1.23534692830576,32
"319798","{intx_record_type_Housing_Stability=0,lead_job_Bulk_Mail=0} => {Positive.MO=1}",0.106312292358804,0.283185840707965,1.23534692830576,32
"319669","{intx_record_type_Housing_Stability=0,intx_record_type_Material_Goods=0} => {Positive.MO=1}",0.106312292358804,0.280701754385965,1.22451055174167,32
"319672","{intx_record_type_Housing_Stability=0,intx_type_Material_Goods=0} => {Positive.MO=1}",0.106312292358804,0.280701754385965,1.22451055174167,32
"319729","{intx_record_type_Housing_Stability=0,Leadership_Tier_2=0} => {Positive.MO=1}",0.106312292358804,0.280701754385965,1.22451055174167,32
"319741","{intx_record_type_Housing_Stability=0,lead_job_Event_Assistance=0} => {Positive.MO=1}",0.106312292358804,0.278260869565217,1.21386263390044,32
"319822","{intx_record_type_Housing_Stability=0,lead_job_Beyond_Bricks_and_Mortar=0} => {Positive.MO=1}",0.106312292358804,0.278260869565217,1.21386263390044,32
"319687","{event_type_Class=0,intx_record_type_Housing_Stability=0} => {Positive.MO=1}",0.106312292358804,0.275862068965517,1.20339830084958,32
"319663","{event_subtype_Educational=0,intx_record_type_Housing_Stability=0} => {Positive.MO=1}",0.102990033222591,0.274336283185841,1.1967423367962,31
"319651","{event_type_Community_Meal=0,intx_record_type_Housing_Stability=0} => {Positive.MO=1}",0.0963455149501661,0.273584905660377,1.19346458846049,29
"319705","{event_type_Movie_Night=0,intx_record_type_Housing_Stability=0} => {Positive.MO=1}",0.106312292358804,0.273504273504274,1.19311284528676,32
"319816","{intx_record_type_Housing_Stability=0,Leadership_Tier_3=0} => {Positive.MO=1}",0.106312292358804,0.273504273504274,1.19311284528676,32
"319855","{intx_record_type_Housing_Stability=0,lead_job_Board_Meetings=0} => {Positive.MO=1}",0.106312292358804,0.273504273504274,1.19311284528676,32
"319726","{intx_record_type_Housing_Stability=0,Leadership_Tier_1=0} => {Positive.MO=1}",0.102990033222591,0.271929824561404,1.18624459699975,31
"319804","{intx_record_type_Housing_Stability=0,lead_job_Flyering.Door_Knocking=0} => {Positive.MO=1}",0.102990033222591,0.271929824561404,1.18624459699975,31
"319660","{intx_record_type_Housing_Stability=0,intx_resource_Food=0} => {Positive.MO=1}",0.106312292358804,0.271186440677966,1.18300171947924,32
