Contact ID	Yardi ID	Yardi HOH ID	HOH	Birth Year	Age at MI	First Move In	Move Out	Campaign Type	Start Date	Reason	Sub-Type	MO Reason
003U0000013FQFP	3	3	1	1977	27	6/27/03		Support Group	1/25/17	Reactive	Educational	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Property Meeting	12/28/16	Proactive	Social	
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Property Meeting	12/28/16	Proactive	Social	
003U000001V60VZ	fam34150;fam32898;fam37500;fam42681	3	0	1977	26	6/27/03		Property Meeting	12/28/16	Proactive	Social	
003U000001V60VZ	fam34150;fam32898;fam37500;fam42681	3	0	1977	26	6/27/03		Property Meeting	12/20/16	Proactive	Social	
003U000001V60VZ	fam34150;fam32898;fam37500;fam42681	3	0	1977	26	6/27/03		Property Meeting	10/26/16	Proactive	Social	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Property Meeting	10/26/16	Proactive	Social	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Property Meeting	12/2/16	Proactive	Social	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Support Group	2/28/17	Reactive	Educational	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Community Meal	1/11/17	Reactive	Educational	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Class	4/1/17	Reactive	Educational	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Community Meal	4/4/17	Reactive	Social	
003U000001V60VZ	fam34150;fam32898;fam37500;fam42681	3	0	1977	26	6/27/03		Community Meal	4/4/17	Reactive	Social	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Support Group	5/16/17	Proactive	Educational	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Community Meal	5/16/17	Proactive	Social	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Support Group	5/2/17	Proactive	Educational	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Community Meal	8/19/16	Proactive	Social	
003U000001V60VZ	fam34150;fam32898;fam37500;fam42681	3	0	1977	26	6/27/03		Community Meal	6/8/16	Proactive	Social	
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Class	3/24/14			
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Community Meal	5/20/14			
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Community Meal	7/18/15			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	1/23/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	1/29/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	1/30/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	2/4/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	2/5/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	2/13/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	2/19/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	2/25/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	2/26/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	2/27/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	3/4/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Community Meal	7/18/15			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Property Meeting	5/23/15			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Volunteer	8/18/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	3/5/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	3/12/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	3/13/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	4/30/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	6/19/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	6/24/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	6/25/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	7/2/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Class	2/24/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Class	3/24/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	1/8/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	1/9/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	1/14/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	1/15/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	1/16/14			
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Campfire	1/22/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	1/8/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	1/9/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	1/14/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	1/15/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	1/16/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	1/22/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	1/23/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	1/29/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	1/30/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	2/4/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	2/5/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	2/6/14			
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Campfire	2/11/14			
003U0000013FQFP	3	3	1	1977	27	6/27/03		Campfire	2/5/14			
